,mean,mean_se,mean_ci_lower,mean_ci_upper
1961-01-01,450.45529242308305,11.436853081913311,428.03947228605705,472.87111256010905
1961-02-01,425.64116448534116,13.676730988260497,398.8352643221077,452.4470646485746
1961-03-01,460.17851671729596,15.598215798866814,429.6065755284333,490.7504579061586
1961-04-01,499.27627530631366,17.307677536022787,465.35385067967604,533.1986999329513
1961-05-01,511.21795843303846,18.862848864205993,474.2474540133725,548.1884628527044
1961-06-01,569.440796997604,20.299222469267313,529.6550520436739,609.2265419515342
1961-07-01,657.0297695151369,21.640466687198234,614.6152341995895,699.4443048306842
1961-08-01,642.2773138299932,22.903300286698116,597.387670140959,687.1669575190274
1961-09-01,547.4902068636479,24.100052481386747,500.25497197460476,594.7254417526912
1961-10-01,497.9726159622664,25.240124706279186,448.5028805726596,547.4423513518732
1961-11-01,428.67456492536996,26.330880364529644,377.066987729659,480.28214212108094
1961-12-01,472.14785153276085,27.378214355167128,418.48753743561576,525.808165629906
1962-01-01,486.88333799360396,32.74915946321969,422.6961649217343,551.0705110654736
1962-02-01,460.9566400275988,35.762434985818174,390.86355545593995,531.0497245992576
1962-03-01,489.3607318607691,38.540836354632454,413.8220806716375,564.8993830499007
1962-04-01,531.1813362873847,41.131987281363585,450.56412260335253,611.798549971417
1962-05-01,542.2395443274967,43.56930902038674,456.84526781624254,627.6338208387508
1962-06-01,604.9442547586772,45.87732554665377,515.0263489802164,694.8621605371379
1962-07-01,691.9806607799304,48.074663910560496,597.7560509463643,786.2052706134965
1962-08-01,676.0577749465324,50.17586691740408,577.7148828953456,774.4006669977192
1962-09-01,578.2563727564229,52.1925467065245,475.9608609502103,680.5518845626356
1962-10-01,531.1007534955334,54.134150427548406,424.99976832386494,637.2017386672018
1962-11-01,460.2059556709801,56.0084864401111,350.43133941976237,569.9805719221978
1962-12-01,502.2970235934114,57.82209667231695,388.96779660507684,615.6262505817459
